step,train_loss,raw_reward,grad_norm,router_aux_loss,ppo_kl,global_expert_0_weight,global_expert_1_weight,global_expert_2_weight,global_expert_3_weight,pre_topk_normalized_entropy,post_topk_normalized_entropy,step_time_s,response_tokens_per_s,actor_train_tokens_per_s,update_weights_time_s
11,0.002507009311,-0.6875,0.008503682911,0.01092495583,0,0.2621051371,0.2462087274,0.2432315201,0.24845469,0.8867818713,0.922744751,288.3162231,3072.466553,9934.076172,4.3519907
12,0.006665878464,-0.515625,0.006739881821,0.01091530826,0,0.2607767284,0.2449906915,0.2436308861,0.2506017387,0.8875897527,0.9237133265,261.2814636,3093.403564,9941.736328,4.506838799
13,0.006192448083,-0.53125,0.009400656447,0.01090962999,0,0.2602513433,0.2454574257,0.2473194748,0.246971786,0.8893111944,0.9253261685,274.2463684,3141.037109,9862.644531,4.535636902
14,0.007801032159,-0.609375,0.009568513371,0.0108671179,0,0.2596450746,0.246880576,0.2419166565,0.2515577078,0.8883374333,0.923822403,269.4703674,3003.443359,9926.933594,4.469794273
15,0.01177601982,-0.734375,0.009026893415,0.01087008137,0,0.2622358799,0.2435653657,0.2478543669,0.2463444322,0.8864630461,0.9230760932,274.1263428,3181.693359,9775.87207,4.51454258
16,0.01169108041,-0.578125,0.009401136078,0.01086795516,0,0.2612867355,0.2418209612,0.2441501766,0.2527421713,0.8893150091,0.9249099493,261.9725952,3235.803955,9918.395508,4.586318016
17,0.02485187538,-0.546875,0.009357610717,0.01086856145,0,0.2625079751,0.2457720041,0.2431311309,0.2485889047,0.88689363,0.9225578904,267.2059326,3074.317871,9672.84375,4.905397415
18,0.004878791515,-0.609375,0.009139087051,0.01084525231,0,0.2585194707,0.2457079142,0.2454365045,0.2503361404,0.888730824,0.9242246747,273.1358643,3026.039795,9992.683594,3.882773638
19,0.01357873064,-0.484375,0.01277334988,0.01081817318,0,0.2610517442,0.2433570325,0.2471556515,0.2484355867,0.8891094327,0.9250664711,277.4511414,3271.754395,9939.449219,3.969428062
20,0.02122603543,-0.375,0.01159209199,0.01085933484,0,0.2590635419,0.2440273315,0.2464631796,0.2504459918,0.8888670206,0.9246464968,260.8648071,3009.723633,9863.177734,4.146383286
21,0.009648751467,-0.625,0.008185222745,0.01082625892,0,0.2602462471,0.2433996201,0.246436432,0.2499177009,0.8909531832,0.9259952307,296.8284302,3086.702148,9938.700195,4.031874657
22,0.001280314755,-0.796875,0.007184015587,0.01081921626,0,0.2608753145,0.2437944114,0.2464852631,0.2488450557,0.889595747,0.9248833656,279.9282837,3286.016602,9861.620117,4.033416748
23,0.05688815191,-0.390625,0.01315761171,0.01079239603,0,0.2596541643,0.2449298054,0.2468458563,0.2485701889,0.8900191784,0.9253858924,249.8072205,3037.82251,10017.85547,4.36669445
24,0.006456687581,-0.296875,0.01008097641,0.01080675889,0,0.2596486807,0.2437029183,0.2493524998,0.2472959161,0.889541328,0.9251486063,263.1874695,2914.036865,9970.935547,4.594326019
25,0.01022870466,-0.59375,0.008187339641,0.01079738885,0,0.2590877414,0.2418933213,0.2483262569,0.2506926954,0.8902258873,0.9260764122,278.6233826,3108.98877,9524.75293,4.105345249
26,0.0144775603,-0.640625,0.009203093126,0.01078192517,0,0.2610831261,0.2428842336,0.2468236238,0.2492090315,0.891035378,0.9261717796,288.9595642,3108.74292,9902.134766,4.82447052
27,0.01225654036,-0.203125,0.01036638767,0.01077401731,0,0.2596016824,0.2439770103,0.2474964559,0.2489248812,0.8899214268,0.9255812764,268.7598877,2840.059082,9840.485352,4.277438164
28,0.01679739915,-0.40625,0.00887739379,0.01078034565,0,0.2608605027,0.2423286587,0.2458404303,0.2509704232,0.8902234435,0.9258511066,263.1824951,2923.005859,10004.37305,5.128398895
29,0.01009081025,-0.484375,0.01004587766,0.01077941898,0,0.2598585188,0.241798684,0.247935012,0.250407815,0.8909096122,0.9263362885,273.1288452,3215.229736,9487.901367,4.381299496
30,0.01452107914,-0.28125,0.009282548912,0.01078088023,0,0.258643955,0.2425135225,0.2483708709,0.2504716516,0.8904368877,0.9259281754,272.8051453,2842.138428,10070.15234,3.947259903
31,0.01381033473,-0.375,0.009297339246,0.010748161,0,0.2589872479,0.2432792336,0.2461152822,0.2516182363,0.8906491995,0.9263928533,265.0873108,3046.600098,9866.101562,4.41563797
32,0.02792951092,-0.203125,0.01226970181,0.01076077949,0,0.2594422698,0.2437972426,0.2485766113,0.2481839061,0.8915358186,0.926882565,257.5072021,2972.180908,9805.070312,3.942663431
33,0.01441998035,-0.703125,0.007380308583,0.01070333458,0,0.2591570318,0.2426635176,0.2475059181,0.2506735325,0.8909976482,0.9266451001,304.9086914,3071.906738,9893.744141,4.996835709
34,0.02593263984,-0.328125,0.01136778947,0.0107086543,0,0.2556240857,0.243885532,0.2489355654,0.2515548468,0.8905819058,0.9260652661,264.2610779,2882.06665,9843.277344,3.904917717
35,0.02679361403,-0.328125,0.008392241783,0.01070482656,0,0.2573333979,0.2420181036,0.2482058257,0.2524426877,0.8910608888,0.9263848066,265.2466431,2906.400635,9993.317383,4.938552856
36,0.02121657506,-0.421875,0.01003880333,0.01070060581,0,0.259049505,0.2426101267,0.2502904534,0.2480499297,0.8915254474,0.9269133806,281.9441528,3137.206299,9787.824219,4.432702065
37,0.01920645311,-0.5,0.008639568463,0.0107103847,0,0.2591778636,0.2429795861,0.2492934018,0.248549208,0.8921207786,0.9270182252,269.0655212,2812.838867,9471.220703,4.683120728
38,0.01596121117,-0.03125,0.01148377359,0.01069730613,0,0.258638531,0.2426292896,0.2483824342,0.2503497899,0.89099437,0.9265889525,254.2975616,2907.522949,9935.22168,5.114117622
39,0.04252658039,-0.109375,0.01307400316,0.01069713756,0,0.2581893802,0.2424886078,0.2483290136,0.2509930432,0.8937174082,0.9287759662,267.9480896,3109.415771,9811.148438,4.545911789
40,0.0138618201,-0.4375,0.009454634041,0.01069845818,0,0.2541294694,0.2443301231,0.2485966384,0.252943784,0.8915269971,0.926928997,266.8835144,2958.047119,9978.041992,4.804158211
41,0.0197863318,-0.484375,0.01021721028,0.01071170345,0,0.2579849064,0.243138209,0.2480561286,0.2508207858,0.8939453959,0.9286735654,288.1002197,2875.766602,9953.541016,4.05626297
42,0.02194147557,-0.34375,0.009093931876,0.0106719695,0,0.2583616972,0.2411412001,0.2507490218,0.2497481257,0.8928444386,0.9278435707,293.1112366,3010.328125,9550.798828,4.469928741
43,0.01812863164,0.109375,0.01230777055,0.01067869365,0,0.2563596368,0.2425821424,0.2509721816,0.2500860691,0.8945477009,0.9292874932,244.8082428,2853.241211,9981.955078,4.095334053
44,0.03185453266,-0.390625,0.01205709483,0.01066773478,0,0.2580982149,0.2446718365,0.2486810535,0.2485489249,0.893012166,0.9279870391,254.1347351,3018.705811,10001.94727,4.569108963
45,0.03939282894,-0.046875,0.01080056001,0.01067032572,0,0.2596364915,0.2416227311,0.248682484,0.2500582933,0.8943977952,0.9295486212,271.4213562,2947.785645,9865.483398,4.351968765
46,0.02614373341,-0.21875,0.01120368298,0.01063203905,0,0.2570191026,0.2429263145,0.2491464913,0.2509080768,0.8943244219,0.9290063381,267.5399475,2942.921387,9689.142578,4.789653778
47,0.006786921993,-0.1875,0.009247181937,0.01064571831,0,0.255608201,0.2435970753,0.2482359707,0.2525587976,0.8951917291,0.9297224879,271.0663757,3033.342041,9959.753906,3.87232542
48,0.02740158327,-0.203125,0.01038692705,0.01064738072,0,0.2561475933,0.2401793003,0.2512059212,0.2524672151,0.8943867087,0.9291596413,267.4624023,3013.825439,9721.591797,4.018165588
49,0.001376406406,-0.3125,0.00833104644,0.01062492188,0,0.2550454438,0.2449714094,0.2502167821,0.2497663945,0.8926138878,0.9275482893,276.2936401,3068.767822,10048.95117,4.444261551
50,-0.001609314582,-0.625,0.007182442117,0.01064585894,0,0.2572560608,0.2430073023,0.2500635684,0.2496731132,0.8958960176,0.9301694632,300.2006226,3097.052246,9907.984375,3.919017315
51,0.01614673808,-0.578125,0.008671307005,0.01063501369,0,0.2597991228,0.2400690913,0.2486134768,0.2515183687,0.8953782916,0.9299412966,291.7341309,3328.856445,10125.10352,4.312181473
52,0.04290574044,-0.1875,0.01087718923,0.01060798764,0,0.2563078105,0.2409940064,0.2494529337,0.2532452643,0.89615345,0.9305305481,267.3044739,3017.117432,9859.638672,3.92406559
53,0.02674899995,-0.34375,0.009090739302,0.01059956197,0,0.2583759427,0.2419631779,0.2490494102,0.2506114841,0.8960323334,0.9305584431,286.2911377,3048.711182,9915.733398,4.245206833
54,0.03187276423,-0.046875,0.01085904706,0.01060478762,0,0.2563429475,0.2411153167,0.2496963739,0.2528453767,0.8950804472,0.929665029,267.5440063,3173.844238,9751.354492,3.967009306
55,0.02505242638,-0.125,0.009765348397,0.01063525584,0,0.2576780617,0.242032066,0.2491396666,0.2511502504,0.8964596391,0.9306417704,267.568512,3108.508545,9788.270508,4.914284706
56,0.01478231512,-0.28125,0.008594859391,0.01061913278,0,0.2564136088,0.2415160835,0.2518015802,0.2502687275,0.8958737254,0.9302455783,276.0352783,3038.303711,9773.336914,3.893443346
57,0.007262572646,-0.375,0.008041221648,0.01060165837,0,0.2579987645,0.2414677441,0.2483404726,0.2521930337,0.8958353996,0.9304440022,293.3717957,3155.927002,9870.539062,4.496844292
58,0.01545265131,0,0.01054840907,0.01059467252,0,0.2557359636,0.2456019968,0.2478991002,0.2507629693,0.8957958817,0.929948926,253.4833679,3016.89624,9948.275391,3.872011423
59,0.03728258982,-0.015625,0.01198719442,0.01056054793,0,0.2570234537,0.2421244681,0.2486267239,0.2522253692,0.8962185383,0.9304753542,239.0549469,2923.968018,9864.510742,3.947369099
60,0.0261777211,0.015625,0.009462789632,0.01055303589,0,0.2554376423,0.2428225875,0.2476736009,0.2540661991,0.8955082297,0.9301285148,276.272583,2991.129395,9783.737305,4.322618484
61,0.0009491155506,-0.109375,0.007356070448,0.01057665516,0,0.2548327446,0.2436000556,0.2486716658,0.2528955638,0.8964129686,0.9306896329,281.2227783,2987.805664,10079.13867,4.411120415
62,0.02049234509,0.21875,0.010561442,0.01053178869,0,0.254417479,0.2429328561,0.2490457594,0.2536039054,0.8944672346,0.9294789433,236.6979065,2944.567627,9919.854492,3.877432585
63,0.01529490203,-0.03125,0.01463005692,0.01056189369,0,0.2547975779,0.2422961742,0.2492953688,0.253610909,0.8953689337,0.930069685,259.6413269,2804.210938,9976.790039,4.043861866
64,0.03871991485,0.296875,0.0124337608,0.01054363325,0,0.2521662116,0.2432549596,0.248255685,0.2563231587,0.8948400021,0.9294022918,242.837677,2963.699951,9970.295898,4.47447443
65,0.0190162044,0.1875,0.008906587027,0.01055991556,0,0.256013304,0.2432175577,0.2493109852,0.251458168,0.8968137503,0.9309255481,231.8295898,2882.677734,10225.51855,4.13891077
66,0.04885555431,0.0625,0.01050108019,0.01055359561,0,0.2534142435,0.2447611094,0.2499546111,0.2518700659,0.8960363865,0.9303309321,274.8199158,2888.82251,10222.2207,3.975998163
67,0.03308377042,-0.265625,0.009702114388,0.01054864191,0,0.2518517673,0.2444971055,0.24939695,0.2542541623,0.896877408,0.9310961366,291.7617798,2961.906006,9593.232422,3.922782421
68,0.01193958707,-0.15625,0.01043494977,0.01053895988,0,0.2547031343,0.2408043593,0.2502915561,0.2542009652,0.8964517713,0.9308485389,265.2348022,3013.447021,10171.57031,4.533192635
69,0.04976026341,0.21875,0.01557056885,0.01049344148,0,0.2539294362,0.2412007898,0.2486823797,0.2561873794,0.8976413608,0.9316928387,256.1943054,2889.182129,10112.55078,4.468819141
70,0.02215480246,-0.109375,0.009971459396,0.01053055376,0,0.2540352643,0.2421021461,0.2500391901,0.2538233995,0.8971524239,0.9315506816,268.4373779,3077.127441,9544.501953,3.898999453
71,0.0277127903,0.1875,0.009013908915,0.01053628046,0,0.2550077736,0.2417302579,0.2496727407,0.2535892427,0.8977541924,0.9319283366,247.7629089,2974.64209,9934.113281,4.000674725
72,0.02457705513,0.046875,0.01081101783,0.01050740015,0,0.2556797564,0.2410763949,0.2507883906,0.2524554729,0.896035552,0.9307286739,257.0255127,2909.069336,9945.360352,4.420226574
73,0.05037358776,0.15625,0.009904891253,0.01050311141,0,0.2542945743,0.2434660345,0.2492727339,0.2529666722,0.8969734907,0.9311923385,251.8165436,3039.057617,10054.46289,3.91679287
74,0.0414201878,-0.140625,0.009747180156,0.01050516311,0,0.2562679946,0.2420212179,0.2511933446,0.2505174577,0.898407042,0.9322487116,274.9700317,2924.409424,9713.660156,3.895281315
75,0.04091919586,0.171875,0.01041385066,0.01048318949,0,0.2562393546,0.2405712456,0.2510164082,0.2521730065,0.8972755075,0.9313754439,258.7742004,2913.439697,9933.636719,5.047819138
76,0.02803938277,-0.234375,0.01001121476,0.01049046498,0,0.2506944537,0.244000718,0.2506006956,0.2547041476,0.8989457488,0.9325964451,258.2787781,3078.824219,9853.537109,4.485327721
77,0.04375733063,0.15625,0.011978372,0.01045733225,0,0.2532117665,0.2419264913,0.2503406107,0.2545211613,0.8967235088,0.931191504,241.6969299,3050.85791,9948.058594,3.988983154
78,0.05763244629,0.125,0.01298103388,0.01047717128,0,0.2523810565,0.2422822863,0.2505171895,0.2548194826,0.8964256644,0.9308511615,265.1868286,2845.492188,10026.04785,4.527001381
79,0.05517041311,0.171875,0.01002296153,0.01049352903,0,0.2551880181,0.2408522815,0.2510421872,0.2529175282,0.8998813629,0.9334288836,250.8187561,2935.558105,9996.907227,4.448924541
80,0.03550259396,-0.078125,0.01023809519,0.01048191171,0,0.2512951791,0.2434130907,0.2515015304,0.2537901998,0.8989500999,0.9327421784,264.9181824,3057.487305,9839.149414,4.462678909
81,0.04190061241,0.109375,0.01567918621,0.01049693394,0,0.2535900772,0.2440949827,0.2505396605,0.2517752945,0.8974291086,0.9314481616,254.4022369,2804.157715,9798.734375,3.901001453
82,0.01411324646,0.078125,0.008335375227,0.01049242914,0,0.2551034987,0.2423582226,0.2500700653,0.2524682283,0.8989565372,0.9329013824,245.1882019,2842.379639,9920.240234,3.88405776
83,0.01910378225,0.1875,0.01751220785,0.01047425997,0,0.256819874,0.2403026968,0.2513788342,0.2514986098,0.8998196721,0.9335231781,261.2197571,2680.547607,9928.030273,4.989891052
84,0.04029475525,0.1875,0.008139253594,0.01045416668,0,0.2526890337,0.2421529442,0.2477780879,0.2573799491,0.8992343545,0.9330263138,249.1538086,2936.447266,10053.19434,3.947202682
85,0.03155702725,0.171875,0.009698512033,0.01043345127,0,0.2527082562,0.2433758378,0.249774307,0.2541415989,0.8986443877,0.9325059056,258.8684998,2866.579102,10200.91895,4.487741947
86,0.03600601107,0.046875,0.00950787589,0.01043532323,0,0.2555880845,0.2395481467,0.2515234947,0.2533402741,0.8978326917,0.9318645,267.1916809,3264.663818,9835.688477,4.815237999
87,0.05164384097,-0.046875,0.009061129764,0.01048683655,0,0.2544745505,0.2392265201,0.2521370649,0.2541618645,0.8992193341,0.9328574538,264.8997803,3035.525391,10012.52246,4.427783012
88,0.03178739548,0.265625,0.01000008453,0.01047393866,0,0.2514981925,0.2444702089,0.2500329316,0.253998667,0.8991766572,0.9328863025,246.378952,2929.438477,9729.302734,3.880571365
89,0.04898111895,0.5,0.01300275885,0.01043986809,0,0.2509537339,0.2421563566,0.2518119216,0.2550779879,0.89787817,0.9318673611,240.1304932,2701.647705,9972.287109,3.901257277
90,0.0376826115,0.203125,0.01050172001,0.01043120399,0,0.2517073452,0.2416204363,0.2501364946,0.2565357387,0.8994886279,0.9330646992,257.4542542,3106.439453,9940.041016,4.910131454
91,0.04025130719,0.296875,0.01080127619,0.01043198071,0,0.2520430088,0.2426864654,0.2525495589,0.2527209818,0.8990528584,0.9328655601,251.2798157,2589.101807,9820.978516,3.90860033
92,0.02551462874,-0.03125,0.01068359148,0.01045284234,0,0.2544975877,0.2417877465,0.2517572641,0.2519574165,0.900534451,0.9337447882,260.2831726,2865.590332,9916.584961,4.978859425
93,0.005849672016,0.15625,0.006987959612,0.01042572968,0,0.2523744702,0.24262923,0.2507168055,0.2542794943,0.8989092708,0.9326269627,251.6729279,2842.530518,10040.33594,4.417860985
94,0.01654405519,-0.1875,0.008213411085,0.0104168253,0,0.2536076009,0.2431044132,0.247762993,0.2555250227,0.9008085728,0.9341008067,272.3849182,3098.692139,9889.716797,4.975171089
95,0.02680128254,-0.28125,0.009207006544,0.0104518868,0,0.2529865205,0.2416850477,0.2539311647,0.2513972819,0.8995315433,0.9330172539,274.7371521,3076.416992,9942.480469,4.420282364
96,0.04535335302,0.546875,0.01081924699,0.01040515956,0,0.252610147,0.2425380051,0.2485654801,0.2562863529,0.8987407684,0.9326040745,240.1329956,2661.14209,10018.83398,4.476040363
97,0.05106101558,-0.0625,0.009219171479,0.01042587403,0,0.2541920543,0.2433822304,0.2483431697,0.2540825605,0.9000191689,0.933488369,253.5970917,3003.812012,9891.604492,4.920578957
98,0.03308845684,-0.21875,0.007122273091,0.01041223854,0,0.2547437251,0.2408330888,0.2476730347,0.2567501664,0.9007549882,0.933891654,281.5944824,2948.974854,10069.84082,4.546789646
99,0.02944751456,0.421875,0.009226249531,0.01040538587,0,0.2522209287,0.241487965,0.2517557144,0.2545354366,0.9000999928,0.9339497089,247.3364563,2726.019531,9888.467773,4.493202209
100,0.02350426279,0.140625,0.009126570076,0.01038235798,0,0.2525923252,0.2443594038,0.2501535118,0.2528947592,0.9001503587,0.9335445762,251.7788696,2937.216309,10073.04199,4.05397892
101,0.04494830593,0.296875,0.01099858526,0.01039331034,0,0.2510796785,0.243479684,0.2497097999,0.2557308376,0.8989909291,0.9327781796,224.091568,2923.827148,10048.19824,3.851896524
102,0.02414003573,0.140625,0.01076257136,0.01043587178,0,0.2516809106,0.2440888286,0.2505868673,0.2536434233,0.9012684226,0.9344174266,271.4847717,3082.404785,9817.259766,4.142765045
103,0.02049191296,0.15625,0.008701507002,0.01041410584,0,0.2532350719,0.2428006232,0.250952512,0.2530118227,0.9017611742,0.9346135855,255.7570343,2984.308838,9871.926758,3.888763189
104,0.02341380902,0.078125,0.008454078808,0.0103900861,0,0.2545068562,0.242984876,0.2509351075,0.2515731752,0.9007463455,0.9339767694,250.5831146,2998.158936,10152.21582,4.358901978
105,0.03594971076,0.296875,0.01052509341,0.01037850976,0,0.2498740256,0.24192743,0.2543716133,0.253826946,0.9006848335,0.9339461923,253.7950439,3010.350342,10107.85938,4.356676579
106,0.01437067613,0.25,0.006198078394,0.01035536826,0,0.2521940768,0.2413218766,0.2508757114,0.25560835,0.8998407125,0.9334400892,224.9382477,2833.444336,10044.94043,4.092477322
107,0.03327665105,-0.046875,0.00817043148,0.0103627732,0,0.2514480948,0.2443747371,0.2522512972,0.2519258559,0.8990020752,0.9326905012,259.711853,2992.512695,9890.445312,3.852465391
108,0.0184329506,0.3125,0.008426601067,0.01037785411,0,0.2534576654,0.2420938164,0.2497948557,0.2546536624,0.9003856182,0.9336223602,239.6329956,2784.904297,9937.904297,4.901945114
109,0.05156100914,0.484375,0.01171176322,0.01038101874,0,0.2510313392,0.2441454679,0.2486441433,0.2561790645,0.9009854794,0.9343681335,244.5300446,2960.564697,9863.470703,3.987901211
110,0.05074454099,0.421875,0.01191771589,0.01037220564,0,0.2524665892,0.2433080524,0.2506347001,0.2535906732,0.9001406431,0.9333951473,223.9747162,2892.067627,10026.30371,3.930449963
111,0.03237903863,0.5625,0.01004908886,0.01032914687,0,0.2518830001,0.2412856221,0.2503724992,0.2564588785,0.9000821114,0.9337373376,229.2397461,2331.851318,10193.85449,3.892958403
112,0.01589938253,-0.25,0.009648384526,0.01035725977,0,0.2530580461,0.2433043271,0.250875622,0.2527619898,0.9002658129,0.9337153435,281.9995422,3184.164795,9989.59082,4.233377457
113,0.03895536065,0.3125,0.01145329606,0.01034628507,0,0.250611037,0.2427942008,0.2501941621,0.2564005852,0.9009329081,0.9343603253,243.6551971,2859.582031,10000.97754,3.913315058
114,0.02426626347,0.34375,0.009042542428,0.01037238259,0,0.2520869672,0.24295111,0.2523442209,0.2526177168,0.9023768306,0.9351105094,231.938324,2928.821533,9875.749023,4.047264099
115,0.0303871166,0.328125,0.01144233067,0.010332454,0,0.2527536154,0.2419338673,0.2499862611,0.2553262711,0.9007548094,0.9341860414,239.8984375,2887.250977,9904.425781,4.955966949
116,0.03812379763,0.125,0.01071417704,0.01034906413,0,0.2509733737,0.2422433645,0.2507746816,0.2560085654,0.9011894464,0.9343609214,257.4474487,2903.660645,10226.88574,4.997420311
117,0.003478608327,0.46875,0.006800943986,0.01034915354,0,0.2518857718,0.2400998771,0.2512753606,0.2567390203,0.9011943936,0.9344519973,230.2782593,2824.087646,10040.95703,3.961633444
118,0.04140701517,0.0625,0.009288973175,0.01034009643,0,0.2527021766,0.240980044,0.2521790862,0.2541387081,0.9017056823,0.9347447753,245.7014771,2894.870605,10078.8252,4.344898224
119,0.01052768156,0.09375,0.006656108424,0.01033893414,0,0.2517192066,0.2430519611,0.251216501,0.2540123165,0.9012981653,0.9345860481,262.0530701,2975.107422,9717.349609,4.422962189
120,0.01029988192,0.25,0.008057821542,0.01030775625,0,0.2525758743,0.2430894524,0.2494297326,0.2549049258,0.9009445906,0.9341265559,249.0671997,2839.081299,9838.674805,4.880019665
121,0.04047298804,0.25,0.008691824041,0.01034349296,0,0.2507514358,0.2424682081,0.250140518,0.2566398382,0.9027818441,0.9355491996,240.8740845,2889.588379,10079.2959,3.952074289
122,0.03577456996,-0.0625,0.007641993929,0.01039710362,0,0.2526792884,0.2438498735,0.251993686,0.2514771223,0.9029513001,0.9357193708,258.2355042,3008.986084,9772.331055,3.95008707
123,0.05263791606,0.34375,0.0126215443,0.01033594459,0,0.2482212186,0.2441643775,0.2500028908,0.2576115131,0.9017225504,0.9347706437,246.568634,2531.230225,10148.99316,4.400063992
124,0.0393919684,0.421875,0.01071095746,0.01031596772,0,0.2489808649,0.244928062,0.2505238652,0.2555672228,0.901987195,0.9352486134,219.9196014,2720.712402,9989.850586,5.119174004
125,0.06380188465,0.40625,0.0109622078,0.01032197848,0,0.2504161894,0.2419334799,0.2519013286,0.2557489872,0.9021068215,0.9350589514,247.4403992,2745.016602,9912.201172,4.509315491
126,0.07508356869,0.234375,0.01085655857,0.01032627188,0,0.2519227266,0.2413927764,0.2512081265,0.2554763854,0.9024752378,0.935228765,251.3437195,2852.336914,9735.137695,4.435956001
127,0.03441102803,0.734375,0.01113324054,0.01030991878,0,0.2521855235,0.2439940423,0.2507416308,0.2530787885,0.9022723436,0.9349297285,235.0338898,2550.325928,10002.8584,4.886936188
128,0.03713221848,0.640625,0.01060135756,0.01030542143,0,0.2481582761,0.2427714169,0.252676636,0.256393671,0.9026101828,0.9353518486,217.028183,2581.858398,10015.24219,4.460695267
129,0.04808714613,0.5625,0.01020453777,0.01031041332,0,0.2507529259,0.244341433,0.2500140071,0.2548916638,0.9024150968,0.9351850748,224.00914,2485.684326,9686.618164,3.877939463
130,0.06741663069,0.28125,0.01114683039,0.01030076668,0,0.2492521554,0.2433033586,0.2484701127,0.2589743733,0.9023314118,0.9350305796,241.254364,2660.623291,10138.24902,3.910342216
131,0.02166444808,0.484375,0.008087879047,0.01028645504,0,0.2492260784,0.2459291667,0.2482125461,0.2566322088,0.9020601511,0.9349788427,234.2256165,2685.474854,9866.490234,3.946928263
132,0.04441709071,0.609375,0.01134894788,0.0102979932,0,0.2495640814,0.2476237863,0.2502872944,0.2525248528,0.9026973844,0.9353209734,223.0966492,2642.011963,9658.508789,3.872823477
133,0.06939458847,0.203125,0.01071305014,0.01029472984,0,0.2501772642,0.2444901764,0.2511467338,0.2541858256,0.9020940065,0.9350056648,260.1536865,2932.462891,10008.49902,4.409780502
134,0.01864590496,0.046875,0.007907414809,0.01028909627,0,0.2486461699,0.2429402769,0.2514998913,0.256913662,0.901727736,0.9347414374,266.4681396,2898.522949,9969.385742,5.048624992
135,0.0486144498,0.421875,0.01255084481,0.010260107,0,0.2508494854,0.2437663227,0.2504951954,0.2548890114,0.9041965008,0.9365667701,241.1838684,2645.977295,10141.89062,3.980561972
136,0.06718677282,0.578125,0.00981684681,0.01027741563,0,0.2476980388,0.2452219725,0.2506440878,0.2564359009,0.9025179744,0.9351724982,223.2874908,2730.282959,10224.61914,4.591696739
137,0.05889012292,0.046875,0.0105250515,0.01026769914,0,0.2507176101,0.243533656,0.2515807748,0.254167974,0.9042007923,0.9364874959,257.5066833,2617.94751,9878.666016,3.917645693
138,0.02173475921,0.09375,0.007965016179,0.0102951033,0,0.2519288361,0.2454858273,0.2499422729,0.2526430786,0.9037155509,0.9360798597,262.5931091,2767.391846,10173.88379,4.455048561
139,0.09563829005,0.390625,0.01226639934,0.01027529407,0,0.2516930401,0.2423311621,0.2521796525,0.25379619,0.9027281404,0.9355340004,245.5156097,2885.168945,9942.098633,4.472323895
140,0.01810608245,0.46875,0.005756437778,0.01028676238,0,0.2529944181,0.2442169935,0.2471455187,0.2556430697,0.903657794,0.9362032413,203.1582184,2403.830811,10079.90527,4.428988457
141,0.04152218252,0.328125,0.009745725431,0.01025718264,0,0.2495083958,0.2428845614,0.2503221929,0.2572848499,0.9033830762,0.9360491633,246.227356,2929.605469,9961.518555,3.909970045
142,0.04742256552,0.515625,0.009095782414,0.01025420055,0,0.2524156868,0.2423613667,0.2515982389,0.2536247373,0.9019680619,0.934810102,219.1140594,2844.308594,10203.2998,4.459119797
